INDUS,NOX,RM,AGE,PTRATIO,CRIM_log,DIS_log,TAX_log,LSTAT_log,RAD_2,RAD_3,RAD_4,RAD_5,RAD_6,RAD_7,RAD_8,RAD_24,ZN_12.5,ZN_17.5,ZN_18.0,ZN_20.0,ZN_21.0,ZN_22.0,ZN_25.0,ZN_28.0,ZN_30.0,ZN_33.0,ZN_34.0,ZN_35.0,ZN_40.0,ZN_45.0,ZN_52.5,ZN_55.0,ZN_60.0,ZN_70.0,ZN_75.0,ZN_80.0,ZN_82.5,ZN_85.0,ZN_90.0,ZN_95.0,ZN_100.0
2.31,0.538,6.575,65.2,15.3,0.006300112548479854,1.6272778305624314,5.6937321388027,1.7884205679625405,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.07,0.469,6.421,78.9,17.8,0.026943735447546184,1.7862610472398053,5.493061443340548,2.316487998163037,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.07,0.469,7.185,61.1,17.8,0.026924266937859983,1.7862610472398053,5.493061443340548,1.6154199841116479,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.18,0.458,6.998,45.8,18.7,0.031857129935659596,1.9547566176942426,5.407171771460119,1.3711807233098425,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.18,0.458,7.147,54.2,18.7,0.06677040363385237,1.9547566176942426,5.407171771460119,1.8453002361560848,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.18,0.458,6.43,58.7,18.7,0.029413160568349615,1.9547566176942426,5.407171771460119,1.8261608959453874,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.87,0.524,6.012,66.6,15.2,0.08460765703482563,1.8810668195636333,5.7430031878094825,2.5974910105351463,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.87,0.524,6.172,96.1,15.2,0.13501154665587695,1.9388135994350102,5.7430031878094825,3.0032042883926917,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.87,0.524,5.631,100.0,15.2,0.19164462825480602,1.95757047389502,5.7430031878094825,3.4317265866969784,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.87,0.524,6.004,85.9,15.2,0.15703793625945525,2.027108232980627,5.7430031878094825,2.89591193827178,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.87,0.524,6.377,94.3,15.2,0.20285104404642812,1.9942512328113926,5.7430031878094825,3.065724645374026,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.87,0.524,6.009,82.9,15.2,0.11106720150765238,1.9777825004388234,5.7430031878094825,2.658159431488745,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.87,0.524,5.889,39.0,15.2,0.08963958688495932,1.8642196559573156,5.7430031878094825,2.8160073426073025,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.949,61.8,21.0,0.48843276471410274,1.7417810994218135,5.730099782973574,2.225704048658088,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,6.096,84.5,21.0,0.493451565108284,1.6977967145719404,5.730099782973574,2.421256622711544,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.834,56.5,21.0,0.4869775044907406,1.7044935143816868,5.730099782973574,2.248128907197987,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.935,29.3,21.0,0.719755031081429,1.7044935143816868,5.730099782973574,2.0255131996542803,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.99,81.7,21.0,0.5789701354975461,1.6597317074885674,5.730099782973574,2.7517480563679295,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.456,36.6,21.0,0.5892910882451726,1.5678864852758652,5.730099782973574,2.540814281726296,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.727,69.5,21.0,0.5456907110920701,1.5678864852758652,5.730099782973574,2.5079719227189963,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.57,98.1,21.0,0.8117254554853013,1.5681783221827976,5.730099782973574,3.091951131294534,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.965,89.2,21.0,0.6162877342628865,1.6118948915872748,5.730099782973574,2.696652156149841,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,6.142,91.7,21.0,0.8031085958282843,1.604807207249406,5.730099782973574,2.9816333491744893,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.813,100.0,21.0,0.6873453826321089,1.628298920075019,5.730099782973574,3.038791763014438,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.924,94.1,21.0,0.5597643483283525,1.686324876752535,5.730099782973574,2.8507065015037334,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.599,85.7,21.0,0.6100590068254429,1.6964592893737305,5.730099782973574,2.8627721462977607,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.813,90.3,21.0,0.5139666854625483,1.7373032834319964,5.730099782973574,2.7606426512213806,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,6.047,88.8,21.0,0.6707839777866772,1.6962392673706428,5.730099782973574,2.905807566026004,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,6.495,94.4,21.0,0.5726673869182406,1.6964776223556821,5.730099782973574,2.624668592163159,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,6.674,87.3,21.0,0.6943714308596382,1.6561306404260827,5.730099782973574,2.563409711275944,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.713,94.1,21.0,0.7565021891227188,1.6549847273900706,5.730099782973574,3.1612467120315646,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,6.072,100.0,21.0,0.8564218244336657,1.6438393391514328,5.730099782973574,2.641910398597665,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.95,82.0,21.0,0.8704520079168975,1.6074359097634274,5.730099782973574,3.3572454941329726,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,5.701,95.0,21.0,0.7662675223101358,1.5659456893579664,5.730099782973574,2.962692419475791,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.14,0.538,6.096,96.9,21.0,0.9604300978281596,1.5602056505538753,5.730099782973574,3.060583245873607,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.96,0.499,5.933,68.2,19.2,0.06219515259296706,1.4725408623332763,5.634789603169249,2.3683728335320486,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.96,0.499,5.841,61.4,19.2,0.0929801947688742,1.4765691573596729,5.634789603169249,2.5185025992165158,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.96,0.499,5.85,41.5,19.2,0.07709066236456355,1.596190552348471,5.634789603169249,2.2793164660546914,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.96,0.499,5.966,30.2,19.2,0.1613106998822503,1.578421848902911,5.634789603169249,2.4096441652874536,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.95,0.428,6.595,21.8,18.3,0.02725518006645146,1.8564698505968105,5.53338948872752,1.6714733033535532,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.95,0.428,7.024,15.8,18.3,0.03303817907679737,1.8564698505968105,5.53338948872752,1.091923300517313,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6.91,0.448,6.77,2.9,17.9,0.11994957590111856,1.9052220741388564,5.455321115357702,1.7647307968401356,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.91,0.448,6.169,6.6,17.9,0.13234318698771316,1.9052220741388564,5.455321115357702,1.918392120161421,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.91,0.448,6.211,6.5,17.9,0.14786812872457536,1.9052220741388564,5.455321115357702,2.132982308607866,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.91,0.448,6.069,40.0,17.9,0.11572759134397043,1.9052220741388564,5.455321115357702,2.3561258599220753,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.91,0.448,5.682,33.8,17.9,0.15821668811495349,1.8083543427998916,5.455321115357702,2.4168062370840686,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.91,0.448,5.786,33.3,17.9,0.17257420533907458,1.8083543427998916,5.455321115357702,2.7180005319553784,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.91,0.448,6.03,85.5,17.9,0.20642049726093953,1.9005241840194438,5.455321115357702,2.9856819377004897,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
